block_id,log,label,cause,raisonnement
blk_38865049064139660,081109 203615 148 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_38865049064139660 terminating,Normal,Fin de transmission de données,Étape 1 : Le nœud de données a terminé la transmission de données pour un bloc spécifique. Étape 2 : Le processus PacketResponder a été arrêté après avoir terminé sa tâche. Étape 3 : Le message d'information indique la fin normale de l'opération.
blk_-6952295868487656571,081109 203807 222 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-6952295868487656571 terminating,Normal,Fin de la transmission de données,Étape 1 : Le nœud de données a terminé la transmission de données pour un bloc spécifique. Étape 2 : Le processus PacketResponder a été arrêté. Étape 3 : Le message d'information est enregistré pour suivre les activités du système HDFS.
blk_7128370237687728475,081109 204005 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS a détecté un nouveau bloc de données. Étape 2 : Le bloc a été ajouté à la carte de blocs. Étape 3 : Le système a mis à jour la liste des blocs disponibles
blk_8229193803249955061,081109 204015 308 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_8229193803249955061 terminating,Normal,Fin de la transmission de données,Étape 1 : Le nœud de données a terminé la transmission de données pour un bloc spécifique. Étape 2 : Le processus PacketResponder a été arrêté après avoir terminé sa tâche. Étape 3 : Le message d'information est généré pour indiquer la fin de la transmission de données.
blk_-6670958622368987959,081109 204106 329 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-6670958622368987959 terminating,Normal,Fin d'un processus de transmission de données,Étape 1 : Le processus PacketResponder est utilisé pour gérer les transmissions de données dans HDFS. Étape 2 : Le message indique que le processus PacketResponder 2 pour un bloc spécifique est terminé. Étape 3 : Cela signifie que la transmission de données pour ce bloc a été complétée ou annulée.
blk_3050920587428079149,081109 204132 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter le nouvel emplacement du bloc. Étape 3 : Le bloc est ajouté avec succès au système de fichiers HDFS
blk_7888946331804732825,081109 204324 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS a détecté un nouveau bloc de données. Étape 2 : Le bloc a été ajouté à la carte de blocs. Étape 3 : Le serveur de noms HDFS a mis à jour la carte de blocs pour refléter les modifications
blk_2377150260128098806,081109 204453 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS a détecté un nouveau bloc de données. Étape 2 : Le bloc a été ajouté à la carte de blocs. Étape 3 : Le système a mis à jour la carte de blocs pour refléter le nouvel emplacement du bloc
blk_572492839287299681,081109 204525 512 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_572492839287299681 terminating,Normal,Fin de la transmission de données,Étape 1 : Le DataNode a terminé la transmission de données pour un bloc spécifique. Étape 2 : Le processus PacketResponder a été arrêté pour ce bloc. Étape 3 : Le système a enregistré l'événement avec un niveau de log INFO pour suivre l'activité du DataNode.
blk_3587508140051953248,081109 204655 556 INFO dfs.DataNode$PacketResponder: Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les logs HDFS avec le niveau d'information INFO.
